file_path,feature_path,emotion,speaker_id,raw_emotion,original_folder,dataset
../../dataset\OAF_Pleasant_surprise\OAF_wife_ps.wav,processed_data\oaf_surprise_OAF_wife_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_happy\OAF_love_happy.wav,processed_data\oaf_happiness_OAF_love_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\YAF_sad\YAF_check_sad.wav,processed_data\yaf_sadness_YAF_check_sad.npy,sadness,yaf,sad,YAF_sad,TESS
../../dataset\OAF_neutral\OAF_limb_neutral.wav,processed_data\oaf_neutral_OAF_limb_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Sad\OAF_dodge_sad.wav,processed_data\oaf_sadness_OAF_dodge_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_disgust\OAF_jug_disgust.wav,processed_data\oaf_disgust_OAF_jug_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\YAF_pleasant_surprised\YAF_keg_ps.wav,processed_data\yaf_surprise_YAF_keg_ps.npy,surprise,yaf,pleasant_surprised,YAF_pleasant_surprised,TESS
../../dataset\YAF_happy\YAF_wheat_happy.wav,processed_data\yaf_happiness_YAF_wheat_happy.npy,happiness,yaf,happy,YAF_happy,TESS
../../dataset\OAF_neutral\OAF_road_neutral.wav,processed_data\oaf_neutral_OAF_road_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_happy\OAF_numb_happy.wav,processed_data\oaf_happiness_OAF_numb_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_neutral\OAF_calm_neutral.wav,processed_data\oaf_neutral_OAF_calm_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Fear\OAF_sheep_fear.wav,processed_data\oaf_fear_OAF_sheep_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_neutral\OAF_gaze_neutral.wav,processed_data\oaf_neutral_OAF_gaze_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_disgust\OAF_juice_disgust.wav,processed_data\oaf_disgust_OAF_juice_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_Sad\OAF_lot_sad.wav,processed_data\oaf_sadness_OAF_lot_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_happy\OAF_wash_happy.wav,processed_data\oaf_happiness_OAF_wash_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\YAF_sad\YAF_soap_sad.wav,processed_data\yaf_sadness_YAF_soap_sad.npy,sadness,yaf,sad,YAF_sad,TESS
../../dataset\OAF_disgust\OAF_far_disgust.wav,processed_data\oaf_disgust_OAF_far_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_Pleasant_surprise\OAF_choice_ps.wav,processed_data\oaf_surprise_OAF_choice_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_disgust\OAF_gap_disgust.wav,processed_data\oaf_disgust_OAF_gap_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_neutral\OAF_pool_neutral.wav,processed_data\oaf_neutral_OAF_pool_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_angry\OAF_dime_angry.wav,processed_data\oaf_anger_OAF_dime_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_disgust\OAF_mode_disgust.wav,processed_data\oaf_disgust_OAF_mode_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_neutral\OAF_vote_neutral.wav,processed_data\oaf_neutral_OAF_vote_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\YAF_disgust\YAF_mess_disgust.wav,processed_data\yaf_disgust_YAF_mess_disgust.npy,disgust,yaf,disgust,YAF_disgust,TESS
../../dataset\OAF_disgust\OAF_merge_disgust.wav,processed_data\oaf_disgust_OAF_merge_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_happy\OAF_peg_happy.wav,processed_data\oaf_happiness_OAF_peg_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\YAF_angry\YAF_came_angry.wav,processed_data\yaf_anger_YAF_came_angry.npy,anger,yaf,angry,YAF_angry,TESS
../../dataset\OAF_angry\OAF_hush_angry.wav,processed_data\oaf_anger_OAF_hush_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\YAF_angry\YAF_white_angry.wav,processed_data\yaf_anger_YAF_white_angry.npy,anger,yaf,angry,YAF_angry,TESS
../../dataset\OAF_neutral\OAF_vine_neutral.wav,processed_data\oaf_neutral_OAF_vine_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Fear\OAF_lid_fear.wav,processed_data\oaf_fear_OAF_lid_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_Fear\OAF_lot_fear.wav,processed_data\oaf_fear_OAF_lot_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_angry\OAF_choice_angry.wav,processed_data\oaf_anger_OAF_choice_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_neutral\OAF_base_neutral.wav,processed_data\oaf_neutral_OAF_base_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_angry\OAF_ditch_angry.wav,processed_data\oaf_anger_OAF_ditch_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_Pleasant_surprise\OAF_doll_ps.wav,processed_data\oaf_surprise_OAF_doll_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_Pleasant_surprise\OAF_mode_ps.wav,processed_data\oaf_surprise_OAF_mode_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_disgust\OAF_page_disgust.wav,processed_data\oaf_disgust_OAF_page_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_happy\OAF_date_happy.wav,processed_data\oaf_happiness_OAF_date_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_neutral\OAF_far_neutral.wav,processed_data\oaf_neutral_OAF_far_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\YAF_neutral\YAF_mess_neutral.wav,processed_data\yaf_neutral_YAF_mess_neutral.npy,neutral,yaf,neutral,YAF_neutral,TESS
../../dataset\OAF_Pleasant_surprise\OAF_south_ps.wav,processed_data\oaf_surprise_OAF_south_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_neutral\OAF_hole_neutral.wav,processed_data\oaf_neutral_OAF_hole_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Sad\OAF_goose_sad.wav,processed_data\oaf_sadness_OAF_goose_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_angry\OAF_pike_angry.wav,processed_data\oaf_anger_OAF_pike_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_happy\OAF_moon_happy.wav,processed_data\oaf_happiness_OAF_moon_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_neutral\OAF_youth_neutral.wav,processed_data\oaf_neutral_OAF_youth_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Sad\OAF_knock_sad.wav,processed_data\oaf_sadness_OAF_knock_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_Sad\OAF_live_sad.wav,processed_data\oaf_sadness_OAF_live_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_disgust\OAF_young_disgust.wav,processed_data\oaf_disgust_OAF_young_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_angry\OAF_jug_angry.wav,processed_data\oaf_anger_OAF_jug_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_happy\OAF_rain_happy.wav,processed_data\oaf_happiness_OAF_rain_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_angry\OAF_judge_angry.wav,processed_data\oaf_anger_OAF_judge_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_angry\OAF_haze_angry.wav,processed_data\oaf_anger_OAF_haze_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_angry\OAF_time_angry.wav,processed_data\oaf_anger_OAF_time_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_angry\OAF_tell_angry.wav,processed_data\oaf_anger_OAF_tell_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_neutral\OAF_haze_neutral.wav,processed_data\oaf_neutral_OAF_haze_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Fear\OAF_deep_fear.wav,processed_data\oaf_fear_OAF_deep_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_Sad\OAF_note_sad.wav,processed_data\oaf_sadness_OAF_note_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_neutral\OAF_pain_neutral.wav,processed_data\oaf_neutral_OAF_pain_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Fear\OAF_rat_fear.wav,processed_data\oaf_fear_OAF_rat_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_Fear\OAF_kite_fear.wav,processed_data\oaf_fear_OAF_kite_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_happy\OAF_knock_happy.wav,processed_data\oaf_happiness_OAF_knock_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_Fear\OAF_learn_fear.wav,processed_data\oaf_fear_OAF_learn_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_happy\OAF_death_happy.wav,processed_data\oaf_happiness_OAF_death_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_disgust\OAF_name_disgust.wav,processed_data\oaf_disgust_OAF_name_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_happy\OAF_cause_happy.wav,processed_data\oaf_happiness_OAF_cause_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_neutral\OAF_bought_neutral.wav,processed_data\oaf_neutral_OAF_bought_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_disgust\OAF_vine_disgust.wav,processed_data\oaf_disgust_OAF_vine_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\YAF_angry\YAF_youth_angry.wav,processed_data\yaf_anger_YAF_youth_angry.npy,anger,yaf,angry,YAF_angry,TESS
../../dataset\OAF_angry\OAF_such_angry.wav,processed_data\oaf_anger_OAF_such_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_Fear\OAF_youth_fear.wav,processed_data\oaf_fear_OAF_youth_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_happy\OAF_should_happy.wav,processed_data\oaf_happiness_OAF_should_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_Sad\OAF_mess_sad.wav,processed_data\oaf_sadness_OAF_mess_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_happy\OAF_met_happy.wav,processed_data\oaf_happiness_OAF_met_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_Pleasant_surprise\OAF_gin_ps.wav,processed_data\oaf_surprise_OAF_gin_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_neutral\OAF_wag_neutral.wav,processed_data\oaf_neutral_OAF_wag_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_neutral\OAF_nag_neutral.wav,processed_data\oaf_neutral_OAF_nag_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Sad\OAF_hush_sad.wav,processed_data\oaf_sadness_OAF_hush_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_disgust\OAF_sub_disgust.wav,processed_data\oaf_disgust_OAF_sub_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_Sad\OAF_soup_sad.wav,processed_data\oaf_sadness_OAF_soup_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_Sad\OAF_chat_sad.wav,processed_data\oaf_sadness_OAF_chat_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_happy\OAF_ring_happy.wav,processed_data\oaf_happiness_OAF_ring_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_Fear\OAF_pass_fear.wav,processed_data\oaf_fear_OAF_pass_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\YAF_sad\YAF_came_sad.wav,processed_data\yaf_sadness_YAF_came_sad.npy,sadness,yaf,sad,YAF_sad,TESS
../../dataset\OAF_angry\OAF_gin_angry.wav,processed_data\oaf_anger_OAF_gin_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_Sad\OAF_judge_sad.wav,processed_data\oaf_sadness_OAF_judge_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_happy\OAF_food_happy.wav,processed_data\oaf_happiness_OAF_food_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_Sad\OAF_peg_sad.wav,processed_data\oaf_sadness_OAF_peg_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_Sad\OAF_phone_sad.wav,processed_data\oaf_sadness_OAF_phone_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_disgust\OAF_said_disgust.wav,processed_data\oaf_disgust_OAF_said_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_Sad\OAF_mob_sad.wav,processed_data\oaf_sadness_OAF_mob_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_Sad\OAF_witch_sad.wav,processed_data\oaf_sadness_OAF_witch_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\YAF_pleasant_surprised\YAF_juice_ps.wav,processed_data\yaf_surprise_YAF_juice_ps.npy,surprise,yaf,pleasant_surprised,YAF_pleasant_surprised,TESS
../../dataset\OAF_Fear\OAF_ditch_fear.wav,processed_data\oaf_fear_OAF_ditch_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_disgust\OAF_team_disgust.wav,processed_data\oaf_disgust_OAF_team_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_Sad\OAF_tough_sad.wav,processed_data\oaf_sadness_OAF_tough_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_Pleasant_surprise\OAF_sure_ps.wav,processed_data\oaf_surprise_OAF_sure_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_disgust\OAF_fail_disgust.wav,processed_data\oaf_disgust_OAF_fail_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_disgust\OAF_pike_disgust.wav,processed_data\oaf_disgust_OAF_pike_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_neutral\OAF_week_neutral.wav,processed_data\oaf_neutral_OAF_week_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Sad\OAF_voice_sad.wav,processed_data\oaf_sadness_OAF_voice_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_happy\OAF_lose_happy.wav,processed_data\oaf_happiness_OAF_lose_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_happy\OAF_team_happy.wav,processed_data\oaf_happiness_OAF_team_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\YAF_happy\YAF_shawl_happy.wav,processed_data\yaf_happiness_YAF_shawl_happy.npy,happiness,yaf,happy,YAF_happy,TESS
../../dataset\OAF_angry\OAF_name_angry.wav,processed_data\oaf_anger_OAF_name_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_happy\OAF_sour_happy.wav,processed_data\oaf_happiness_OAF_sour_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_Pleasant_surprise\OAF_soap_ps.wav,processed_data\oaf_surprise_OAF_soap_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_neutral\OAF_witch_neutral.wav,processed_data\oaf_neutral_OAF_witch_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Fear\OAF_beg_fear.wav,processed_data\oaf_fear_OAF_beg_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_angry\OAF_red_angry.wav,processed_data\oaf_anger_OAF_red_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_Sad\OAF_time_sad.wav,processed_data\oaf_sadness_OAF_time_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_disgust\OAF_tape_disgust.wav,processed_data\oaf_disgust_OAF_tape_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_Fear\OAF_match_fear.wav,processed_data\oaf_fear_OAF_match_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_Fear\OAF_dab_fear.wav,processed_data\oaf_fear_OAF_dab_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_Pleasant_surprise\OAF_neat_ps.wav,processed_data\oaf_surprise_OAF_neat_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_angry\OAF_good_angry.wav,processed_data\oaf_anger_OAF_good_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_angry\OAF_kill_angry.wav,processed_data\oaf_anger_OAF_kill_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_Fear\OAF_check_fear.wav,processed_data\oaf_fear_OAF_check_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_Fear\OAF_yes_fear.wav,processed_data\oaf_fear_OAF_yes_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_disgust\OAF_check_disgust.wav,processed_data\oaf_disgust_OAF_check_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_happy\OAF_sail_happy.wav,processed_data\oaf_happiness_OAF_sail_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_Fear\OAF_hurl_fear.wav,processed_data\oaf_fear_OAF_hurl_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_happy\OAF_keen_happy.wav,processed_data\oaf_happiness_OAF_keen_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_angry\OAF_pick_angry.wav,processed_data\oaf_anger_OAF_pick_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_happy\OAF_burn_happy.wav,processed_data\oaf_happiness_OAF_burn_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_Fear\OAF_phone_fear.wav,processed_data\oaf_fear_OAF_phone_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_happy\OAF_gin_happy.wav,processed_data\oaf_happiness_OAF_gin_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_disgust\OAF_wire_disgust.wav,processed_data\oaf_disgust_OAF_wire_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_disgust\OAF_mop_disgust.wav,processed_data\oaf_disgust_OAF_mop_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_Fear\OAF_rag_fear.wav,processed_data\oaf_fear_OAF_rag_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_Pleasant_surprise\OAF_live_ps.wav,processed_data\oaf_surprise_OAF_live_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_disgust\OAF_keg_disgust.wav,processed_data\oaf_disgust_OAF_keg_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_Sad\OAF_talk_sad.wav,processed_data\oaf_sadness_OAF_talk_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_disgust\OAF_bath_disgust.wav,processed_data\oaf_disgust_OAF_bath_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_angry\OAF_jar_angry.wav,processed_data\oaf_anger_OAF_jar_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_angry\OAF_wag_angry.wav,processed_data\oaf_anger_OAF_wag_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_angry\OAF_rot_angry.wav,processed_data\oaf_anger_OAF_rot_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_Pleasant_surprise\OAF_week_ps.wav,processed_data\oaf_surprise_OAF_week_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_neutral\OAF_raise_neutral.wav,processed_data\oaf_neutral_OAF_raise_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Fear\OAF_read_fear.wav,processed_data\oaf_fear_OAF_read_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_Sad\OAF_base_sad.wav,processed_data\oaf_sadness_OAF_base_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_happy\OAF_phone_happy.wav,processed_data\oaf_happiness_OAF_phone_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_neutral\OAF_hush_neutral.wav,processed_data\oaf_neutral_OAF_hush_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_disgust\OAF_hit_disgust.wav,processed_data\oaf_disgust_OAF_hit_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_Fear\OAF_which_fear.wav,processed_data\oaf_fear_OAF_which_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_happy\OAF_thumb_happy.wav,processed_data\oaf_happiness_OAF_thumb_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_Fear\OAF_long_fear.wav,processed_data\oaf_fear_OAF_long_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\YAF_pleasant_surprised\YAF_wheat_ps.wav,processed_data\yaf_surprise_YAF_wheat_ps.npy,surprise,yaf,pleasant_surprised,YAF_pleasant_surprised,TESS
../../dataset\OAF_disgust\OAF_match_disgust.wav,processed_data\oaf_disgust_OAF_match_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_Pleasant_surprise\OAF_rat_ps.wav,processed_data\oaf_surprise_OAF_rat_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_Sad\OAF_rush_sad.wav,processed_data\oaf_sadness_OAF_rush_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_Sad\OAF_wheat_sad.wav,processed_data\oaf_sadness_OAF_wheat_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_Sad\OAF_dead_sad.wav,processed_data\oaf_sadness_OAF_dead_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_Pleasant_surprise\OAF_read_ps.wav,processed_data\oaf_surprise_OAF_read_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_Pleasant_surprise\OAF_said_ps.wav,processed_data\oaf_surprise_OAF_said_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_disgust\OAF_met_disgust.wav,processed_data\oaf_disgust_OAF_met_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
../../dataset\OAF_happy\OAF_fail_happy.wav,processed_data\oaf_happiness_OAF_fail_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_Fear\OAF_hole_fear.wav,processed_data\oaf_fear_OAF_hole_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_Fear\OAF_red_fear.wav,processed_data\oaf_fear_OAF_red_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_Fear\OAF_cause_fear.wav,processed_data\oaf_fear_OAF_cause_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\YAF_sad\YAF_perch_sad.wav,processed_data\yaf_sadness_YAF_perch_sad.npy,sadness,yaf,sad,YAF_sad,TESS
../../dataset\OAF_Pleasant_surprise\OAF_sour_ps.wav,processed_data\oaf_surprise_OAF_sour_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_Fear\OAF_team_fear.wav,processed_data\oaf_fear_OAF_team_fear.npy,fear,oaf,fear,OAF_Fear,TESS
../../dataset\OAF_Pleasant_surprise\OAF_half_ps.wav,processed_data\oaf_surprise_OAF_half_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\YAF_angry\YAF_shawl_angry.wav,processed_data\yaf_anger_YAF_shawl_angry.npy,anger,yaf,angry,YAF_angry,TESS
../../dataset\OAF_disgust\OAF_void_disgust.wav,processed_data\oaf_disgust_OAF_void_disgust.npy,disgust,oaf,disgust,OAF_disgust,TESS
